image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0004_top_20250705_t1.JPG,1,1590,698,1663,761,73,63,4599,298,559,357,638
0004_top_20250705_t1.JPG,2,1759,595,1815,660,56,65,3640,429,372,468,453
0004_top_20250705_t1.JPG,3,1467,609,1543,674,76,65,4940,187,464,248,538
0004_top_20250705_t1.JPG,4,1331,666,1395,717,64,51,3264,72,579,127,640
0004_top_20250705_t1.JPG,5,1444,644,1516,708,72,64,4608,169,518,228,595
0004_top_20250705_t1.JPG,6,1572,460,1633,518,61,58,3538,263,244,308,305
0004_top_20250705_t1.JPG,7,1512,549,1578,610,66,61,4026,221,371,272,439
0004_top_20250705_t1.JPG,8,1902,447,1953,521,51,74,3774,522,153,550,238
0004_top_20250705_t1.JPG,9,1954,513,2008,576,54,63,3402,572,221,605,294
0004_top_20250705_t1.JPG,10,1359,626,1424,680,65,54,3510,96,515,150,577
0004_top_20250705_t1.JPG,11,1668,501,1714,572,46,71,3266,345,272,375,357
0004_top_20250705_t1.JPG,12,1756,346,1806,424,50,78,3900,396,70,426,153
0004_top_20250705_t1.JPG,13,1546,488,1622,552,76,64,4864,245,285,302,351
0004_top_20250705_t1.JPG,14,1708,306,1754,377,46,71,3266,355,37,383,110
0004_top_20250705_t1.JPG,15,1847,408,1896,476,49,68,3332,472,121,501,195
0004_top_20250705_t1.JPG,16,1551,241,1604,284,53,43,2279,232,0,269,37
0004_top_20250705_t1.JPG,17,1724,612,1778,679,54,67,3618,403,403,440,489
0004_top_20250705_t1.JPG,18,1691,633,1746,692,55,59,3245,377,441,417,515
0004_top_20250705_t1.JPG,19,1813,392,1857,458,44,66,2904,444,109,469,182
0004_top_20250705_t1.JPG,20,1678,292,1719,357,41,65,2665,331,28,356,94
0004_top_20250705_t1.JPG,21,1985,598,2029,643,44,45,1980,611,323,639,377
0004_top_20250705_t1.JPG,22,1651,645,1712,709,61,64,3904,345,468,391,548
0004_top_20250705_t1.JPG,23,1614,253,1656,315,42,62,2604,280,0,307,60
0004_top_20250705_t1.JPG,24,1642,269,1686,334,44,65,2860,302,11,330,75
