image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0013_a_top_20250702_t1.jpg,1,1742,1014,1787,1088,45,74,3330,270,362,304,485
0013_a_top_20250702_t1.jpg,2,1850,1006,1891,1081,41,75,3075,376,363,405,488
0013_a_top_20250702_t1.jpg,3,1983,1080,2024,1151,41,71,2911,492,509,522,626
0013_a_top_20250702_t1.jpg,4,1860,1088,1898,1162,38,74,2812,374,505,401,627
0013_a_top_20250702_t1.jpg,5,2041,998,2089,1066,48,68,3264,558,380,595,491
0013_a_top_20250702_t1.jpg,6,1822,1087,1863,1163,41,76,3116,338,498,367,624
0013_a_top_20250702_t1.jpg,7,1812,1010,1852,1074,40,64,2560,339,364,369,470
0013_a_top_20250702_t1.jpg,8,2107,991,2137,1067,30,76,2280,622,375,639,502
0013_a_top_20250702_t1.jpg,9,2114,992,2136,1063,22,71,1562,628,376,639,496
0013_a_top_20250702_t1.jpg,10,2050,847,2102,922,52,75,3900,588,127,627,249
