image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0016_top_20250630_t0.jpg,1,1085,610,1151,645,66,35,2310,32,185,116,251
0016_top_20250630_t0.jpg,2,1011,481,1036,536,25,55,1375,173,443,201,557
0016_top_20250630_t0.jpg,3,1087,469,1113,522,26,53,1378,78,460,108,573
0016_top_20250630_t0.jpg,4,1046,470,1075,535,29,65,1885,125,438,158,575
0016_top_20250630_t0.jpg,5,977,483,1004,545,27,62,1674,213,427,241,557
0016_top_20250630_t0.jpg,6,1124,453,1152,514,28,61,1708,27,472,61,602
0016_top_20250630_t0.jpg,7,945,483,969,534,24,51,1224,253,456,278,562
0016_top_20250630_t0.jpg,8,1048,641,1079,695,31,54,1674,127,82,163,198
0016_top_20250630_t0.jpg,9,991,644,1018,699,27,55,1485,203,86,233,205
0016_top_20250630_t0.jpg,10,771,477,795,525,24,48,1152,448,501,470,596
0016_top_20250630_t0.jpg,11,930,649,956,706,26,57,1482,279,86,306,207
0016_top_20250630_t0.jpg,12,804,473,831,529,27,56,1512,409,487,435,599
0016_top_20250630_t0.jpg,13,618,607,644,656,26,49,1274,617,261,639,357
