image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0023_top_20250711_t1.png,1,1219,941,1261,1026,42,85,3570,206,58,307,109
0023_top_20250711_t1.png,2,1161,708,1218,835,57,127,7239,446,0,605,68
0023_top_20250711_t1.png,3,1525,927,1561,1015,36,88,3168,168,550,288,602
0023_top_20250711_t1.png,4,1385,933,1423,1016,38,83,3154,192,309,298,360
0023_top_20250711_t1.png,5,1277,1022,1331,1148,54,126,6804,47,131,196,199
0023_top_20250711_t1.png,6,1472,936,1506,1011,34,75,2550,184,454,282,503
0023_top_20250711_t1.png,7,1271,720,1323,845,52,125,6500,426,159,589,223
0023_top_20250711_t1.png,8,1521,728,1554,805,33,77,2541,464,578,576,627
0023_top_20250711_t1.png,9,1333,717,1382,849,49,132,6468,416,256,593,317
0023_top_20250711_t1.png,10,1364,717,1415,837,51,120,6120,430,305,593,373
0023_top_20250711_t1.png,11,1323,682,1375,815,52,133,6916,462,245,640,310
0023_top_20250711_t1.png,12,1421,1032,1464,1139,43,107,4601,25,354,159,411
0023_top_20250711_t1.png,13,1370,682,1421,813,51,131,6681,462,321,640,386
