image,pair_id,x1,y1,x2,y2,width,height,area
0001_top_20250619_t1.jpg,1,463,280,518,416,55,136,7480
0001_top_20250619_t1.jpg,2,339,149,408,206,69,57,3933
0001_top_20250619_t1.jpg,3,536,227,588,361,52,134,6968
0001_top_20250619_t1.jpg,4,197,353,355,467,158,114,18012
0001_top_20250619_t1.jpg,5,369,401,444,640,75,239,17925
0001_top_20250619_t1.jpg,6,183,486,330,587,147,101,14847
0001_top_20250619_t1.jpg,7,372,227,422,370,50,143,7150
0001_top_20250619_t1.jpg,8,223,292,358,355,135,63,8505
0001_top_20250619_t1.jpg,9,225,226,340,282,115,56,6440
0001_top_20250619_t1.jpg,10,165,621,312,640,147,19,2793
0001_top_20250619_t1.jpg,11,148,615,327,640,179,25,4475
