vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,iou,reid_similarity,final_score,note,is_matched
1,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,997,473,1049,531,1017,472,1046,529,201,196,254,345,183,486,330,587,0.5333333333333333,0.42533135414123535,0.5333333333333333,hungarian,1
2,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1002,525,1069,585,1012,540,1077,572,246,332,337,458,369,401,444,640,0.42656688493919553,0.6257508993148804,0.42656688493919553,hungarian,1
3,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1147,509,1204,560,1166,514,1216,560,448,109,516,217,339,149,408,206,0.5053483665799364,0.7204596400260925,0.5053483665799364,hungarian,1
4,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1065,475,1119,535,1084,465,1118,534,307,116,362,265,223,292,358,355,0.5603351955307263,0.8288206458091736,0.5603351955307263,hungarian,1
5,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1027,471,1092,539,1046,462,1091,535,250,149,321,313,197,353,355,467,0.5968911917098445,0.6638022661209106,0.5968911917098445,hungarian,1
6,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1095,461,1150,521,1116,456,1154,523,340,44,396,191,225,226,340,282,0.535995796111403,0.4296382963657379,0.535995796111403,hungarian,1
7,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1091,605,1160,659,1097,616,1171,665,442,432,543,528,536,227,588,361,0.5834589704932156,0.4389721751213074,0.5834589704932156,hungarian,1
8,0001_top_20250619_t0.jpg_detect.csv,0001_top_20250619_t1.jpg_detect.csv,1079,519,1145,579,1085,538,1159,566,359,217,444,343,372,227,422,370,0.3860294117647059,0.40860670804977417,0.3860294117647059,hungarian,1
9,,0001_top_20250619_t1.jpg_detect.csv,,,,,1073,579,1134,616,,,,,463,280,518,416,0.0,0.0,0.0,new,0
10,,0001_top_20250619_t1.jpg_detect.csv,,,,,1006,477,1014,524,,,,,165,621,312,640,0.0,0.0,0.0,new,0
11,,0001_top_20250619_t1.jpg_detect.csv,,,,,1006,472,1016,529,,,,,148,615,327,640,0.0,0.0,0.0,new,0
12,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,726,722,788,760,727,723,788,761,359,113,458,433,359,113,458,433,0.9338022341745966,1.0000001192092896,0.9338022341745966,hungarian,1
13,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,724,629,762,676,724,631,762,677,61,195,200,395,61,195,200,395,0.9375,0.9999998807907104,0.9375,hungarian,1
