image_id,method,rmse,inliers,num_lm_common,passed,confidence
0001_top_20250702_t0,Homography,0.000269523952,4,4,TRUE,medium
0001_top_20250619_t0,Homography,0.00332435054,4,4,TRUE,medium
0001_top_20250619_t1,Homography,342.4282463,6,6,FALSE,low
0001_top_20250623_t0,Homography,312.7862103,9,9,FALSE,low
0001_top_20250626_t0,Homography,0.000570931608,4,4,TRUE,medium
0001_top_20250630_t0,Homography,277.9923065,9,9,FALSE,low
0001_top_20250702_t1,Homography,213.0441741,7,7,FALSE,low
0001_top_20250703_t0,Homography,191.1442515,7,7,FALSE,low
0001_top_20250703_t1,Homography,314.5413514,7,7,FALSE,low
0001_top_20250705_t0,Homography,666.0251138,8,8,FALSE,low
0001_top_20250705_t1,Homography,9.89E-05,4,4,TRUE,medium
0001_top_20250707_t0,Homography,0.00420849463,4,4,TRUE,medium
0001_top_20250707_t1,Homography,0.00231270092,4,4,TRUE,medium
0001_top_20250708_t0,Homography,0.0887196595,4,4,TRUE,medium
0001_top_20250708_t1,Homography,0.00867971641,4,4,TRUE,medium
0001_top_20250711_t0,Homography,0.00320056511,4,4,TRUE,medium
0001_top_20250711_t1,Homography,0.00272701499,4,4,TRUE,medium
0002_top_20250618_t0,Homography,0.00449728055,4,4,TRUE,medium
0002_top_20250619_t0,Homography,3.688839212,4,4,TRUE,medium
0002_top_20250623_t0,Homography,0.00146038649,4,4,TRUE,medium
0002_top_20250626_t0,Homography,0,4,4,TRUE,medium
0002_top_20250626_t1,Homography,0.000105715992,4,4,TRUE,medium
0002_top_20250630_t0,Homography,0.00118793372,4,4,TRUE,medium
0002_top_20250630_t1,Homography,0.00132127369,4,4,TRUE,medium
0002_top_20250703_t0,Similarity,330.9391207,5,5,FALSE,low
0002_top_20250703_t1,Homography,0.000454957627,4,4,TRUE,medium
0002_top_20250704_t0,Homography,0,4,4,TRUE,medium
0002_top_20250704_t1,Homography,1.21E-05,4,4,TRUE,medium
0002_top_20250705_t0,Homography,366.6121481,7,7,FALSE,low
0002_top_20250705_t1,Homography,366.2079164,7,7,FALSE,low
0002_top_20250707_t0,Homography,328.3254594,5,5,FALSE,low
0002_top_20250707_t1,Homography,0.000158573988,4,4,TRUE,medium
0002_top_20250708_t0,Homography,7.48E-05,4,4,TRUE,medium
0002_top_20250708_t1,Homography,25.6862972,5,5,FALSE,low
0002_top_20250709_t0,Homography,87.67215683,5,5,FALSE,low
0002_top_20250711_t0,Homography,309.9233078,6,6,FALSE,low
0002_top_20250711_t1,Homography,1505.581761,7,7,FALSE,low
0003_top_20250623_t0,Homography,0.000607483802,4,4,TRUE,medium
0003_top_20250626_t0,Homography,0.00283394782,4,4,TRUE,medium
0003_top_20250703_t0,Homography,436.6260355,11,11,FALSE,low
0003_top_20250703_t1,Homography,467.9610464,9,9,FALSE,low
0003_top_20250705_t0,Homography,0.000125827198,4,4,TRUE,medium
0003_top_20250707_t0,Homography,0.00182876444,4,4,TRUE,medium
0003_top_20250707_t1,Homography,0,4,4,TRUE,medium
0003_top_20250708_t0,Homography,366.2255969,5,5,FALSE,low
0003_top_20250708_t1,Homography,0.00171510418,4,4,TRUE,medium
0003_top_20250711_t0,Homography,259.5065896,8,8,FALSE,low
0003_top_20250711_t1,Homography,273.7907373,8,8,FALSE,low
0004_top_20250623_t0,Homography,69.905072,5,5,FALSE,low
0004_top_20250624_t0,Homography,0.00800410394,4,4,TRUE,medium
0004_top_20250626_t0,Homography,0.00118979423,4,4,TRUE,medium
0004_top_20250703_t0,Homography,95.23936566,7,7,FALSE,low
0004_top_20250703_t1,Homography,0.975438903,4,4,TRUE,medium
0004_top_20250705_t0,Homography,0.000632089697,4,4,TRUE,medium
0004_top_20250705_t1,Homography,450.2988973,5,5,FALSE,low
0004_top_20250707_t0,Homography,0,4,4,TRUE,medium
0004_top_20250707_t1,Homography,0.00249386691,4,4,TRUE,medium
0004_top_20250709_t0,Homography,0.0250775401,4,4,TRUE,medium
0004_top_20250709_t1,Homography,0.00793838409,4,4,TRUE,medium
0005_top_20250618_t0,Similarity,315.6456062,5,5,FALSE,low
0005_top_20250623_t0,Homography,411.3206532,5,5,FALSE,low
0005_top_20250626_t0,Homography,2.16E-05,4,4,TRUE,medium
0005_top_20250630_t1,Homography,0.00121289205,4,4,TRUE,medium
0005_top_20250703_t0,Homography,0.00117244706,4,4,TRUE,medium
0005_top_20250703_t1,Homography,1.512778358,4,4,TRUE,medium
0005_top_20250704_t0,Homography,0,4,4,TRUE,medium
0005_top_20250704_t1,Homography,0,4,4,TRUE,medium
0005_top_20250705_t0,Homography,0.0296948149,4,4,TRUE,medium
0005_top_20250705_t1,Homography,744.385302,7,7,FALSE,low
0005_top_20250707_t0,Homography,0.000168538834,4,4,TRUE,medium
0005_top_20250707_t1,Homography,0.000116207475,4,4,TRUE,medium
0005_top_20250709_t0,Homography,0,4,4,TRUE,medium
0005_top_20250709_t1,Homography,0,4,4,TRUE,medium
0006_a_top_20250619_t1,Homography,0.000467825614,4,4,TRUE,medium
0006_a_top_20250626_t1,Homography,0.000175310139,4,4,TRUE,medium
0006_b_top_20250619_t1,Homography,0.000130371151,4,4,TRUE,medium
0006_top_20250619_t0,Homography,0.0373694567,4,4,TRUE,medium
0006_top_20250623_t0,Homography,0.00109225648,4,4,TRUE,medium
0006_top_20250626_t0,Homography,0.000209217975,4,4,TRUE,medium
0006_top_20250702_t1,Homography,0.00663671378,4,4,TRUE,medium
0006_top_20250703_t0,Homography,14.10433332,7,7,TRUE,medium
0006_top_20250703_t1,Homography,14.33646984,8,8,TRUE,medium
0006_top_20250705_t0,Homography,665.4743812,9,9,FALSE,low
0006_top_20250705_t1,Homography,337.8415305,5,5,FALSE,low
0006_top_20250707_t0,Homography,235.6944181,6,6,FALSE,low
0006_top_20250707_t1,Homography,6.10E-05,4,4,TRUE,medium
0006_top_20250708_t0,Homography,0.104197836,4,4,TRUE,medium
0006_top_20250711_t0,Homography,304.540639,6,6,FALSE,low
0006_top_20250711_t1,Homography,304.3542685,6,6,FALSE,low
0007_top_20250619_t0,Homography,0.00044643368,4,4,TRUE,medium
0007_top_20250626_t0,Homography,0.000182468578,4,4,TRUE,medium
0007_top_20250626_t1,Homography,0.000547830904,4,4,TRUE,medium
0007_top_20250630_t0,Similarity,335.3042723,5,5,FALSE,low
0007_top_20250702_t0,Homography,12.71922762,6,6,TRUE,medium
0007_top_20250702_t1,Homography,6.10E-05,4,4,TRUE,medium
0007_top_20250703_t0,Homography,107.1804969,6,6,FALSE,low
0007_top_20250703_t1,Homography,0.00681005414,4,4,TRUE,medium
0007_top_20250704_t0,Homography,0.000105715992,4,4,TRUE,medium
0007_top_20250704_t1,Homography,0,4,4,TRUE,medium
0007_top_20250705_t0,Homography,0.000158573988,4,4,TRUE,medium
0007_top_20250705_t1,Homography,0.000902722135,4,4,TRUE,medium
0007_top_20250707_t0,Homography,0.000573373237,4,4,TRUE,medium
0007_top_20250707_t1,Homography,0.000193010111,4,4,TRUE,medium
0007_top_20250708_t1,Homography,6.10E-05,4,4,TRUE,medium
0007_top_20250709_t0,Homography,4158.242643,6,6,FALSE,low
0007_top_20250709_t1,Homography,0.00114918032,4,4,TRUE,medium
0007_top_20250711_t0,Homography,0.00117284417,4,4,TRUE,medium
0008_top_20250618_t0,Homography,0.000236880107,4,4,TRUE,medium
0008_top_20250623_t0,Homography,0.000585428653,4,4,TRUE,medium
0008_top_20250623_t1,Homography,140.4878472,5,5,FALSE,low
0008_top_20250624_t1,Homography,0.162421199,4,4,TRUE,medium
0008_top_20250630_t0,Homography,0.000841588271,4,4,TRUE,medium
