image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_0010_top_20250705_t0.JPG,1,353,552,387,614,34,62,2108
blue_filtered_0010_top_20250705_t0.JPG,2,255,326,271,353,16,27,432
blue_filtered_0010_top_20250705_t0.JPG,3,369,109,386,132,17,23,391
blue_filtered_0010_top_20250705_t0.JPG,4,355,105,374,129,19,24,456
blue_filtered_0010_top_20250705_t0.JPG,5,354,551,384,599,30,48,1440
blue_filtered_0010_top_20250705_t0.JPG,6,507,281,532,322,25,41,1025
blue_filtered_0010_top_20250705_t0.JPG,7,436,134,454,159,18,25,450
blue_filtered_0010_top_20250705_t0.JPG,8,463,142,488,173,25,31,775
blue_filtered_0010_top_20250705_t0.JPG,9,412,123,429,150,17,27,459
blue_filtered_0010_top_20250705_t0.JPG,10,401,119,416,146,15,27,405
blue_filtered_0010_top_20250705_t0.JPG,11,516,186,532,210,16,24,384
blue_filtered_0010_top_20250705_t0.JPG,12,425,131,442,155,17,24,408
blue_filtered_0010_top_20250705_t0.JPG,13,344,350,360,376,16,26,416
blue_filtered_0010_top_20250705_t0.JPG,14,235,251,250,277,15,26,390
blue_filtered_0010_top_20250705_t0.JPG,15,278,349,300,379,22,30,660
blue_filtered_0010_top_20250705_t0.JPG,16,264,335,281,367,17,32,544
blue_filtered_0010_top_20250705_t0.JPG,17,389,111,407,139,18,28,504
blue_filtered_0010_top_20250705_t0.JPG,18,405,299,428,335,23,36,828
blue_filtered_0010_top_20250705_t0.JPG,19,326,337,343,362,17,25,425
blue_filtered_0010_top_20250705_t0.JPG,20,389,158,413,197,24,39,936
blue_filtered_0010_top_20250705_t0.JPG,21,465,226,483,261,18,35,630
blue_filtered_0010_top_20250705_t0.JPG,22,498,175,515,197,17,22,374
blue_filtered_0010_top_20250705_t0.JPG,23,477,161,493,185,16,24,384
blue_filtered_0010_top_20250705_t0.JPG,24,221,170,238,196,17,26,442
blue_filtered_0010_top_20250705_t0.JPG,25,452,139,471,167,19,28,532
blue_filtered_0010_top_20250705_t0.JPG,26,316,240,336,268,20,28,560
blue_filtered_0010_top_20250705_t0.JPG,27,464,146,483,173,19,27,513
blue_filtered_0010_top_20250705_t0.JPG,28,552,216,599,264,47,48,2256
blue_filtered_0010_top_20250705_t0.JPG,29,315,377,336,413,21,36,756
blue_filtered_0010_top_20250705_t0.JPG,30,314,320,331,348,17,28,476
blue_filtered_0010_top_20250705_t0.JPG,31,331,251,351,280,20,29,580
blue_filtered_0010_top_20250705_t0.JPG,32,293,138,311,163,18,25,450
blue_filtered_0010_top_20250705_t0.JPG,33,382,185,400,213,18,28,504
blue_filtered_0010_top_20250705_t0.JPG,34,390,291,410,321,20,30,600
blue_filtered_0010_top_20250705_t0.JPG,35,265,291,281,316,16,25,400
blue_filtered_0010_top_20250705_t0.JPG,36,374,282,395,309,21,27,567
blue_filtered_0010_top_20250705_t0.JPG,37,332,392,355,433,23,41,943
blue_filtered_0010_top_20250705_t0.JPG,38,348,139,370,174,22,35,770
blue_filtered_0010_top_20250705_t0.JPG,39,371,238,387,264,16,26,416
blue_filtered_0010_top_20250705_t0.JPG,40,435,212,455,243,20,31,620
blue_filtered_0010_top_20250705_t0.JPG,41,474,211,495,243,21,32,672
blue_filtered_0010_top_20250705_t0.JPG,42,407,198,425,225,18,27,486
blue_filtered_0010_top_20250705_t0.JPG,43,489,170,505,193,16,23,368
blue_filtered_0010_top_20250705_t0.JPG,44,251,277,264,302,13,25,325
blue_filtered_0010_top_20250705_t0.JPG,45,298,367,317,397,19,30,570
blue_filtered_0010_top_20250705_t0.JPG,46,475,159,491,183,16,24,384
blue_filtered_0010_top_20250705_t0.JPG,47,233,179,247,202,14,23,322
blue_filtered_0010_top_20250705_t0.JPG,48,421,204,442,232,21,28,588
blue_filtered_0010_top_20250705_t0.JPG,49,450,221,470,253,20,32,640
blue_filtered_0010_top_20250705_t0.JPG,50,465,149,487,175,22,26,572
blue_filtered_0010_top_20250705_t0.JPG,51,397,118,413,146,16,28,448
blue_filtered_0010_top_20250705_t0.JPG,52,291,135,308,163,17,28,476
blue_filtered_0010_top_20250705_t0.JPG,53,469,212,493,246,24,34,816
blue_filtered_0010_top_20250705_t0.JPG,54,362,149,393,188,31,39,1209
blue_filtered_0010_top_20250705_t0.JPG,55,356,172,374,201,18,29,522
blue_filtered_0010_top_20250705_t0.JPG,56,396,191,416,219,20,28,560
