image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_0029_top_20250704_t1.png,1,90,120,139,211,49,91,4459
blue_filtered_0029_top_20250704_t1.png,2,28,79,55,126,27,47,1269
blue_filtered_0029_top_20250704_t1.png,3,75,29,103,76,28,47,1316
blue_filtered_0029_top_20250704_t1.png,4,570,554,600,598,30,44,1320
blue_filtered_0029_top_20250704_t1.png,5,97,170,146,256,49,86,4214
blue_filtered_0029_top_20250704_t1.png,6,118,197,167,288,49,91,4459
blue_filtered_0029_top_20250704_t1.png,7,286,391,314,442,28,51,1428
blue_filtered_0029_top_20250704_t1.png,8,344,270,376,318,32,48,1536
blue_filtered_0029_top_20250704_t1.png,9,374,216,407,265,33,49,1617
blue_filtered_0029_top_20250704_t1.png,10,319,325,349,371,30,46,1380
blue_filtered_0029_top_20250704_t1.png,11,327,301,358,343,31,42,1302
blue_filtered_0029_top_20250704_t1.png,12,362,233,390,280,28,47,1316
blue_filtered_0029_top_20250704_t1.png,13,619,574,639,625,20,51,1020
blue_filtered_0029_top_20250704_t1.png,14,111,171,144,254,33,83,2739
