image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_0040_top_20250626_t0.jpg,1,286,121,316,248,30,127,3810
blue_filtered_0040_top_20250626_t0.jpg,2,410,125,441,256,31,131,4061
blue_filtered_0040_top_20250626_t0.jpg,3,199,100,229,224,30,124,3720
blue_filtered_0040_top_20250626_t0.jpg,4,369,125,399,255,30,130,3900
blue_filtered_0040_top_20250626_t0.jpg,5,331,126,361,258,30,132,3960
blue_filtered_0040_top_20250626_t0.jpg,6,610,125,639,257,29,132,3828
blue_filtered_0040_top_20250626_t0.jpg,7,243,102,273,234,30,132,3960
blue_filtered_0040_top_20250626_t0.jpg,8,451,130,483,262,32,132,4224
blue_filtered_0040_top_20250626_t0.jpg,9,106,106,133,224,27,118,3186
blue_filtered_0040_top_20250626_t0.jpg,10,569,145,603,265,34,120,4080
blue_filtered_0040_top_20250626_t0.jpg,11,530,158,560,258,30,100,3000
blue_filtered_0040_top_20250626_t0.jpg,12,491,137,522,255,31,118,3658
