image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_s012_top_20250707_t0.JPG,1,380,264,426,301,46,37,1702
blue_filtered_s012_top_20250707_t0.JPG,2,261,401,301,437,40,36,1440
blue_filtered_s012_top_20250707_t0.JPG,3,219,569,268,605,49,36,1764
blue_filtered_s012_top_20250707_t0.JPG,4,287,83,329,121,42,38,1596
blue_filtered_s012_top_20250707_t0.JPG,5,287,46,331,82,44,36,1584
blue_filtered_s012_top_20250707_t0.JPG,6,271,274,319,311,48,37,1776
blue_filtered_s012_top_20250707_t0.JPG,7,381,224,421,258,40,34,1360
blue_filtered_s012_top_20250707_t0.JPG,8,379,509,414,545,35,36,1260
blue_filtered_s012_top_20250707_t0.JPG,9,284,118,328,156,44,38,1672
blue_filtered_s012_top_20250707_t0.JPG,10,292,15,333,50,41,35,1435
blue_filtered_s012_top_20250707_t0.JPG,11,284,163,326,195,42,32,1344
blue_filtered_s012_top_20250707_t0.JPG,12,381,379,423,417,42,38,1596
blue_filtered_s012_top_20250707_t0.JPG,13,379,421,424,454,45,33,1485
blue_filtered_s012_top_20250707_t0.JPG,14,293,0,332,10,39,10,390
blue_filtered_s012_top_20250707_t0.JPG,15,292,0,333,14,41,14,574
