image,pair_id,x1,y1,x2,y2,width,height,area
blurred_0001_top_20250705_t1.JPG,1,309,43,332,88,23,45,1035
blurred_0001_top_20250705_t1.JPG,2,363,97,390,129,27,32,864
blurred_0001_top_20250705_t1.JPG,3,358,69,383,102,25,33,825
blurred_0001_top_20250705_t1.JPG,4,171,108,195,159,24,51,1224
blurred_0001_top_20250705_t1.JPG,5,241,48,263,104,22,56,1232
blurred_0001_top_20250705_t1.JPG,6,351,50,377,82,26,32,832
blurred_0001_top_20250705_t1.JPG,7,374,251,396,294,22,43,946
blurred_0001_top_20250705_t1.JPG,8,443,543,466,592,23,49,1127
blurred_0001_top_20250705_t1.JPG,9,368,113,397,151,29,38,1102
blurred_0001_top_20250705_t1.JPG,10,369,323,388,373,19,50,950
blurred_0001_top_20250705_t1.JPG,11,155,311,176,368,21,57,1197
blurred_0001_top_20250705_t1.JPG,12,462,503,482,539,20,36,720
blurred_0001_top_20250705_t1.JPG,13,357,277,375,317,18,40,720
blurred_0001_top_20250705_t1.JPG,14,141,151,160,208,19,57,1083
blurred_0001_top_20250705_t1.JPG,15,205,229,226,284,21,55,1155
blurred_0001_top_20250705_t1.JPG,16,336,296,352,337,16,41,656
blurred_0001_top_20250705_t1.JPG,17,298,325,313,361,15,36,540
blurred_0001_top_20250705_t1.JPG,18,390,413,408,466,18,53,954
blurred_0001_top_20250705_t1.JPG,19,261,351,278,388,17,37,629
blurred_0001_top_20250705_t1.JPG,20,312,317,326,356,14,39,546
blurred_0001_top_20250705_t1.JPG,21,144,160,160,207,16,47,752
blurred_0001_top_20250705_t1.JPG,22,174,456,194,511,20,55,1100
blurred_0001_top_20250705_t1.JPG,23,285,570,307,601,22,31,682
blurred_0001_top_20250705_t1.JPG,24,237,364,257,412,20,48,960
blurred_0001_top_20250705_t1.JPG,25,345,339,361,378,16,39,624
blurred_0001_top_20250705_t1.JPG,26,321,360,338,398,17,38,646
blurred_0001_top_20250705_t1.JPG,27,289,161,307,214,18,53,954
blurred_0001_top_20250705_t1.JPG,28,337,182,353,233,16,51,816
blurred_0001_top_20250705_t1.JPG,29,164,417,185,474,21,57,1197
blurred_0001_top_20250705_t1.JPG,30,368,120,399,155,31,35,1085
blurred_0001_top_20250705_t1.JPG,31,113,504,146,585,33,81,2673
