image,pair_id,x1,y1,x2,y2,width,height,area
blurred_s006_top_20250707_t0.png,1,411,6,514,65,103,59,6077
blurred_s006_top_20250707_t0.png,2,412,79,517,150,105,71,7455
blurred_s006_top_20250707_t0.png,3,407,496,510,564,103,68,7004
blurred_s006_top_20250707_t0.png,4,174,41,222,207,48,166,7968
blurred_s006_top_20250707_t0.png,5,3,449,57,562,54,113,6102
blurred_s006_top_20250707_t0.png,6,123,41,169,200,46,159,7314
blurred_s006_top_20250707_t0.png,7,94,528,148,640,54,112,6048
blurred_s006_top_20250707_t0.png,8,412,400,516,478,104,78,8112
blurred_s006_top_20250707_t0.png,9,38,490,101,605,63,115,7245
blurred_s006_top_20250707_t0.png,10,150,573,200,640,50,67,3350
