image,pair_id,x1,y1,x2,y2,width,height,area
bright_0031_top_20250624_t0.jpg,1,237,329,302,373,65,44,2860
bright_0031_top_20250624_t0.jpg,2,131,164,211,213,80,49,3920
bright_0031_top_20250624_t0.jpg,3,334,317,408,365,74,48,3552
bright_0031_top_20250624_t0.jpg,4,162,416,194,551,32,135,4320
bright_0031_top_20250624_t0.jpg,5,222,403,253,531,31,128,3968
bright_0031_top_20250624_t0.jpg,6,353,398,382,526,29,128,3712
bright_0031_top_20250624_t0.jpg,7,313,408,341,521,28,113,3164
bright_0031_top_20250624_t0.jpg,8,272,410,302,523,30,113,3390
bright_0031_top_20250624_t0.jpg,9,552,435,583,556,31,121,3751
bright_0031_top_20250624_t0.jpg,10,392,382,421,514,29,132,3828
bright_0031_top_20250624_t0.jpg,11,363,50,388,166,25,116,2900
bright_0031_top_20250624_t0.jpg,12,433,402,462,512,29,110,3190
bright_0031_top_20250624_t0.jpg,13,222,63,250,172,28,109,3052
bright_0031_top_20250624_t0.jpg,14,471,419,501,523,30,104,3120
bright_0031_top_20250624_t0.jpg,15,511,428,542,528,31,100,3100
bright_0031_top_20250624_t0.jpg,16,330,63,355,158,25,95,2375
