image,pair_id,x1,y1,x2,y2,width,height,area
bright_s006_top_20250707_t0.png,1,411,5,513,65,102,60,6120
bright_s006_top_20250707_t0.png,2,414,82,516,149,102,67,6834
bright_s006_top_20250707_t0.png,3,408,497,508,562,100,65,6500
bright_s006_top_20250707_t0.png,4,415,402,516,476,101,74,7474
bright_s006_top_20250707_t0.png,5,175,44,222,205,47,161,7567
bright_s006_top_20250707_t0.png,6,4,448,56,561,52,113,5876
bright_s006_top_20250707_t0.png,7,125,40,168,200,43,160,6880
bright_s006_top_20250707_t0.png,8,40,486,102,602,62,116,7192
bright_s006_top_20250707_t0.png,9,91,532,148,640,57,108,6156
bright_s006_top_20250707_t0.png,10,149,574,200,640,51,66,3366
