image,pair_id,x1,y1,x2,y2,width,height,area
bright_s018_top_20250711_t0.jpg,1,34,131,79,162,45,31,1395
bright_s018_top_20250711_t0.jpg,2,0,122,36,176,36,54,1944
bright_s018_top_20250711_t0.jpg,3,66,135,109,166,43,31,1333
bright_s018_top_20250711_t0.jpg,4,100,138,147,170,47,32,1504
bright_s018_top_20250711_t0.jpg,5,197,114,501,465,304,351,106704
bright_s018_top_20250711_t0.jpg,6,108,142,148,171,40,29,1160
bright_s018_top_20250711_t0.jpg,7,120,167,168,197,48,30,1440
bright_s018_top_20250711_t0.jpg,8,261,127,511,442,250,315,78750
bright_s018_top_20250711_t0.jpg,9,114,156,161,184,47,28,1316
bright_s018_top_20250711_t0.jpg,10,118,160,166,189,48,29,1392
bright_s018_top_20250711_t0.jpg,11,121,170,165,205,44,35,1540
