image,pair_id,x1,y1,x2,y2,width,height,area
noisy_0049_top_20250626_t0.jpg,1,396,467,424,589,28,122,3416
noisy_0049_top_20250626_t0.jpg,2,173,476,204,609,31,133,4123
noisy_0049_top_20250626_t0.jpg,3,125,175,154,283,29,108,3132
noisy_0049_top_20250626_t0.jpg,4,47,180,78,279,31,99,3069
noisy_0049_top_20250626_t0.jpg,5,541,179,568,289,27,110,2970
noisy_0049_top_20250626_t0.jpg,6,8,176,38,280,30,104,3120
noisy_0049_top_20250626_t0.jpg,7,128,475,156,595,28,120,3360
noisy_0049_top_20250626_t0.jpg,8,88,170,117,279,29,109,3161
noisy_0049_top_20250626_t0.jpg,9,245,166,270,272,25,106,2650
noisy_0049_top_20250626_t0.jpg,10,609,182,639,276,30,94,2820
noisy_0049_top_20250626_t0.jpg,11,474,450,500,561,26,111,2886
