image,pair_id,x1,y1,x2,y2,width,height,area
noisy_s006_top_20250707_t0.png,1,414,6,515,60,101,54,5454
noisy_s006_top_20250707_t0.png,2,414,79,519,150,105,71,7455
noisy_s006_top_20250707_t0.png,3,411,498,508,563,97,65,6305
noisy_s006_top_20250707_t0.png,4,175,42,223,208,48,166,7968
noisy_s006_top_20250707_t0.png,5,416,400,514,474,98,74,7252
noisy_s006_top_20250707_t0.png,6,124,39,168,199,44,160,7040
noisy_s006_top_20250707_t0.png,7,3,448,57,559,54,111,5994
noisy_s006_top_20250707_t0.png,8,39,485,104,604,65,119,7735
noisy_s006_top_20250707_t0.png,9,93,537,148,640,55,103,5665
noisy_s006_top_20250707_t0.png,10,150,573,202,639,52,66,3432
