image,pair_id,x1,y1,x2,y2,width,height,area
noisy_s012_top_20250707_t0.JPG,1,380,264,426,301,46,37,1702
noisy_s012_top_20250707_t0.JPG,2,220,567,268,606,48,39,1872
noisy_s012_top_20250707_t0.JPG,3,288,84,330,121,42,37,1554
noisy_s012_top_20250707_t0.JPG,4,381,381,423,416,42,35,1470
noisy_s012_top_20250707_t0.JPG,5,288,47,330,83,42,36,1512
noisy_s012_top_20250707_t0.JPG,6,272,273,318,311,46,38,1748
noisy_s012_top_20250707_t0.JPG,7,292,14,334,49,42,35,1470
noisy_s012_top_20250707_t0.JPG,8,379,507,417,545,38,38,1444
noisy_s012_top_20250707_t0.JPG,9,283,116,329,154,46,38,1748
noisy_s012_top_20250707_t0.JPG,10,261,397,302,438,41,41,1681
noisy_s012_top_20250707_t0.JPG,11,381,225,423,258,42,33,1386
noisy_s012_top_20250707_t0.JPG,12,282,160,327,199,45,39,1755
noisy_s012_top_20250707_t0.JPG,13,300,0,334,16,34,16,544
noisy_s012_top_20250707_t0.JPG,14,412,3,439,76,27,73,1971
noisy_s012_top_20250707_t0.JPG,15,379,420,426,457,47,37,1739
noisy_s012_top_20250707_t0.JPG,16,255,340,312,376,57,36,2052
noisy_s012_top_20250707_t0.JPG,17,284,196,326,222,42,26,1092
