vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,iou,reid_similarity,final_score,note
1,blue_filtered_0001_top_20250702_t0.jpg_detect.csv,blue_filtered_0001_top_20250702_t1.jpg_detect.csv,363,118,458,432,363,118,458,432,1.0,1.0,1.0,hungarian
2,blue_filtered_0001_top_20250702_t0.jpg_detect.csv,blue_filtered_0001_top_20250702_t1.jpg_detect.csv,487,162,583,468,487,162,583,468,1.0,0.9999998807907104,0.9999999046325685,hungarian
3,blue_filtered_0001_top_20250702_t0.jpg_detect.csv,blue_filtered_0001_top_20250702_t1.jpg_detect.csv,60,193,199,392,60,193,199,392,1.0,0.9999998807907104,0.9999999046325685,hungarian
4,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,465,516,538,603,438,422,516,481,0.0,0.668102502822876,0.5344820022583008,hungarian
5,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,375,205,416,339,435,341,513,401,0.0,0.7881800532341003,0.6305440425872804,hungarian
6,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,305,194,349,325,198,420,243,558,0.0,0.768397867679596,0.6147182941436768,reid_assist
7,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,457,197,499,336,355,401,400,543,0.0,0.8719566464424133,0.6975653171539307,reid_assist
8,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,232,183,272,321,120,415,164,561,0.0,0.9114188551902771,0.7291350841522217,reid_assist
9,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,417,197,459,334,314,407,356,549,0.0,0.8578157424926758,0.6862525939941406,reid_assist
10,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,188,185,224,321,269,422,312,561,0.0,0.7866960167884827,0.6293568134307862,reid_assist
11,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,537,232,617,293,393,399,436,535,0.0,0.801133930683136,0.6409071445465089,reid_assist
12,blue_filtered_0001_top_20250703_t0.JPG_detect.csv,blue_filtered_0001_top_20250703_t1.JPG_detect.csv,540,150,622,214,74,429,115,567,0.0,0.6447069048881531,0.5157655239105224,reid_assist
13,blue_filtered_0001_top_20250704_t0.png_detect.csv,blue_filtered_0001_top_20250704_t1.png_detect.csv,172,148,286,525,118,43,235,408,0.23635340461451884,0.8071310520172119,0.6929755225366734,hungarian
14,,blue_filtered_0001_top_20250704_t1.png_detect.csv,,,,,205,513,382,640,0.0,0.0,0.0,new
15,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,399,236,469,524,586,317,639,559,0.0,0.6979271173477173,0.5583416938781739,hungarian
16,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,159,282,231,562,141,274,209,524,0.4828411811652035,0.7156479358673096,0.6690865849268883,hungarian
17,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,239,258,308,543,444,286,510,544,0.0,0.8918269276618958,0.7134615421295166,hungarian
18,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,482,235,557,504,513,316,580,575,0.2827454197429587,0.7898576259613037,0.6884351847176348,hungarian
19,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,317,274,387,560,377,281,440,547,0.07796471070988921,0.8812971115112305,0.7206306313509623,hungarian
20,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,0,308,72,584,230,264,291,517,0.0,0.6936589479446411,0.5549271583557129,hungarian
21,blue_filtered_0001_top_20250708_t0.jpg_detect.csv,blue_filtered_0001_top_20250708_t1.jpg_detect.csv,76,295,150,589,306,291,372,539,0.0,0.8854990005493164,0.7083992004394531,hungarian
22,blue_filtered_0001_top_20250711_t0.jpg_detect.csv,blue_filtered_0001_top_20250711_t1.jpg_detect.csv,258,172,310,281,258,172,310,281,1.0,1.0,1.0,hungarian
23,blue_filtered_0001_top_20250711_t0.jpg_detect.csv,blue_filtered_0001_top_20250711_t1.jpg_detect.csv,214,188,261,293,214,188,261,293,1.0,1.0,1.0,hungarian
24,blue_filtered_0001_top_20250711_t0.jpg_detect.csv,blue_filtered_0001_top_20250711_t1.jpg_detect.csv,175,209,231,310,175,209,231,310,1.0,1.0000001192092896,1.0000000953674317,hungarian
