vehicle_id,zone_id,t0_image,t1_image,move_dist,diag0,delta_min,move_ratio,stop
1,,blue_filtered_0001_top_20250702_t0,blue_filtered_0001_top_20250702_t1,0.0,328.056,6,0.0,Yes
2,,blue_filtered_0001_top_20250702_t0,blue_filtered_0001_top_20250702_t1,0.0,320.705,6,0.0,Yes
3,,blue_filtered_0001_top_20250702_t0,blue_filtered_0001_top_20250702_t1,0.0,242.739,6,0.0,Yes
4,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,110.744,113.569,6,0.975,No
5,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,126.346,140.132,6,0.902,No
6,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,253.007,138.192,6,1.831,No
7,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,228.759,145.207,6,1.575,No
8,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,260.377,143.68,6,1.812,No
9,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,236.147,143.293,6,1.648,No
10,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,253.027,140.684,6,1.799,No
11,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,261.202,100.603,6,2.596,No
12,,blue_filtered_0001_top_20250703_t0,blue_filtered_0001_top_20250703_t1,580.119,104.019,6,5.577,No
13,,blue_filtered_0001_top_20250704_t0,blue_filtered_0001_top_20250704_t1,122.789,393.859,8,0.312,No
15,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,187.687,296.385,7,0.633,No
16,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,30.48,289.109,7,0.105,Yes
17,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,204.016,293.234,7,0.696,No
18,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,80.654,279.26,7,0.289,No
19,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,56.58,294.442,7,0.192,No
20,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,231.259,285.237,7,0.811,No
21,,blue_filtered_0001_top_20250708_t0,blue_filtered_0001_top_20250708_t1,227.607,303.17,7,0.751,No
22,,blue_filtered_0001_top_20250711_t0,blue_filtered_0001_top_20250711_t1,0.0,120.768,8,0.0,Yes
23,,blue_filtered_0001_top_20250711_t0,blue_filtered_0001_top_20250711_t1,0.0,115.039,8,0.0,Yes
24,,blue_filtered_0001_top_20250711_t0,blue_filtered_0001_top_20250711_t1,0.0,115.486,8,0.0,Yes
25,,blue_filtered_0002_top_20250704_t0,blue_filtered_0002_top_20250704_t1,69.26,139.216,9,0.498,No
27,,blue_filtered_0003_top_20250705_t0,blue_filtered_0003_top_20250705_t1,1.118,84.155,9,0.013,Yes
28,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,180.325,196.023,6,0.92,No
29,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,81.094,87.006,6,0.932,No
30,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,129.882,159.891,6,0.812,No
31,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,23.712,114.691,6,0.207,No
32,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,95.964,104.389,6,0.919,No
33,,blue_filtered_0003_top_20250707_t0,blue_filtered_0003_top_20250707_t1,511.646,127.047,6,4.027,No
35,,blue_filtered_0003_top_20250708_t0,blue_filtered_0003_top_20250708_t1,131.187,158.685,9,0.827,No
36,,blue_filtered_0003_top_20250708_t0,blue_filtered_0003_top_20250708_t1,67.624,142.636,9,0.474,No
37,,blue_filtered_0003_top_20250708_t0,blue_filtered_0003_top_20250708_t1,125.399,151.822,9,0.826,No
38,,blue_filtered_0003_top_20250711_t0,blue_filtered_0003_top_20250711_t1,0.0,170.496,6,0.0,Yes
39,,blue_filtered_0003_top_20250711_t0,blue_filtered_0003_top_20250711_t1,0.0,140.218,6,0.0,Yes
40,,blue_filtered_0003_top_20250711_t0,blue_filtered_0003_top_20250711_t1,0.0,139.846,6,0.0,Yes
41,,blue_filtered_0003_top_20250711_t0,blue_filtered_0003_top_20250711_t1,0.0,140.631,6,0.0,Yes
42,,blue_filtered_0004_top_20250703_t0,blue_filtered_0004_top_20250703_t1,0.0,101.134,9,0.0,Yes
43,,blue_filtered_0004_top_20250703_t0,blue_filtered_0004_top_20250703_t1,0.0,100.846,9,0.0,Yes
44,,blue_filtered_0004_top_20250703_t0,blue_filtered_0004_top_20250703_t1,0.0,45.453,9,0.0,Yes
45,,blue_filtered_0004_top_20250708_t0,blue_filtered_0004_top_20250708_t1,120.205,127.016,6,0.946,No
46,,blue_filtered_0004_top_20250708_t0,blue_filtered_0004_top_20250708_t1,65.487,218.525,6,0.3,No
47,,blue_filtered_0004_top_20250708_t0,blue_filtered_0004_top_20250708_t1,73.062,211.492,6,0.345,No
48,,blue_filtered_0004_top_20250708_t0,blue_filtered_0004_top_20250708_t1,80.723,65.437,6,1.234,No
49,,blue_filtered_0005_top_20250702_t0,blue_filtered_0005_top_20250702_t1,195.541,251.909,9,0.776,No
50,,blue_filtered_0005_top_20250707_t0,blue_filtered_0005_top_20250707_t1,74.788,148.678,9,0.503,No
52,,blue_filtered_0005_top_20250708_t0,blue_filtered_0005_top_20250708_t1,137.282,178.732,6,0.768,No
53,,blue_filtered_0005_top_20250708_t0,blue_filtered_0005_top_20250708_t1,102.825,135.03,6,0.762,No
54,,blue_filtered_0005_top_20250708_t0,blue_filtered_0005_top_20250708_t1,140.472,166.652,6,0.843,No
55,,blue_filtered_0005_top_20250708_t0,blue_filtered_0005_top_20250708_t1,91.012,81.123,6,1.122,No
56,,blue_filtered_0005_top_20250708_t0,blue_filtered_0005_top_20250708_t1,122.161,40.0,6,3.054,No
57,,blue_filtered_0006_top_20250703_t0,blue_filtered_0006_top_20250703_t1,20.006,111.041,7,0.18,No
