image_id,transform_method,rmse,inliers,num_lm_common,quality_gate_passed,confidence_level,error
0001_top_20250619_t0,Homography,1.202,9.0,12.0,True,medium,
0001_top_20250619_t1,Homography,1.2993,8.0,8.0,True,medium,
0001_top_20250702_t0,Homography,0.9591,6.0,9.0,True,medium,
0001_top_20250702_t1,Homography,1.5148,7.0,9.0,True,medium,
0001_top_20250703_t0,Homography,2.2467,13.0,18.0,True,medium,
0001_top_20250703_t1,Homography,2.562,23.0,30.0,True,medium,
0001_top_20250705_t0,Homography,2.0382,22.0,32.0,True,medium,
0001_top_20250705_t1,Homography,1.1682,7.0,14.0,True,medium,
0001_top_20250707_t0,Homography,1.6236,7.0,10.0,True,medium,
0001_top_20250707_t1,Homography,0.5458,7.0,11.0,True,medium,
0001_top_20250708_t0,Homography,1.6743,13.0,14.0,True,medium,
0001_top_20250708_t1,Homography,1.8687,12.0,13.0,True,medium,
0001_top_20250711_t0,Homography,2.0823,17.0,18.0,True,medium,
0001_top_20250711_t1,Homography,1.885,16.0,16.0,True,medium,
0002_top_20250626_t0,Homography,1.3635,6.0,8.0,True,medium,
0002_top_20250626_t1,,,,,,,"standardize failed: '필수 컬럼(x,y,LM) 미발견: 0002_top_20250626_t1.csv'"
0002_top_20250630_t0,Homography,1.0806,6.0,8.0,True,medium,
0002_top_20250630_t1,Homography,0.3439,5.0,8.0,True,medium,
0002_top_20250702_t0,Affine,47.0047,7.0,7.0,False,low,
0002_top_20250702_t1,Homography,0.6075,6.0,9.0,True,medium,
0002_top_20250703_t0,Homography,1.6534,14.0,20.0,True,medium,
0002_top_20250703_t1,Homography,1.9069,13.0,14.0,True,medium,
0002_top_20250704_t0,Homography,1.448,12.0,13.0,True,medium,
0002_top_20250704_t1,Homography,1.6727,8.0,16.0,True,medium,
0002_top_20250705_t0,Homography,0.7301,8.0,14.0,True,medium,
0002_top_20250705_t1,Homography,1.4914,7.0,12.0,True,medium,
0002_top_20250707_t0,Homography,0.829,6.0,12.0,True,medium,
0002_top_20250707_t1,Homography,1.0039,7.0,10.0,True,medium,
0002_top_20250708_t0,Homography,1.2232,7.0,11.0,True,medium,
0002_top_20250708_t1,Homography,1.5086,7.0,10.0,True,medium,
0002_top_20250711_t0,Homography,1.3366,8.0,19.0,True,medium,
0002_top_20250711_t1,Homography,2.3897,16.0,29.0,True,medium,
0003_top_20250626_t0,Homography,1.1981,6.0,8.0,True,medium,
0003_top_20250626_t1,Homography,1.1158,5.0,8.0,True,medium,
0003_top_20250703_t0,Homography,2.1151,13.0,33.0,True,medium,
0003_top_20250703_t1,Homography,2.3007,13.0,22.0,True,medium,
0003_top_20250707_t0,Homography,0.7271,8.0,8.0,True,medium,
0003_top_20250707_t1,Homography,1.772,10.0,16.0,True,medium,
0003_top_20250708_t0,Homography,0.9733,5.0,9.0,True,medium,
0003_top_20250708_t1,Affine,61.5837,7.0,7.0,False,low,
0003_top_20250711_t0,Homography,1.688,7.0,9.0,True,medium,
0003_top_20250711_t1,Homography,1.4767,7.0,9.0,True,medium,
0004_top_20250703_t0,Homography,1.7809,8.0,10.0,True,medium,
0004_top_20250703_t1,Similarity,4.6681,8.0,8.0,True,medium,
0004_top_20250705_t0,Homography,1.0074,6.0,8.0,True,medium,
0004_top_20250705_t1,Homography,2.2271,7.0,16.0,True,medium,
0004_top_20250707_t0,Homography,1.8322,10.0,13.0,True,medium,
0004_top_20250707_t1,Homography,1.3811,8.0,8.0,True,medium,
0005_top_20250626_t0,Homography,1.0115,7.0,8.0,True,medium,
0005_top_20250626_t1,Homography,0.8632,7.0,8.0,True,medium,
0005_top_20250704_t0,Homography,0.1652,6.0,8.0,True,medium,
0005_top_20250704_t1,Homography,1.0278,5.0,8.0,True,medium,
0005_top_20250705_t0,Homography,1.31,6.0,8.0,True,medium,
0005_top_20250705_t1,Homography,0.2379,6.0,8.0,True,medium,
0005_top_20250707_t0,Homography,1.7585,6.0,8.0,True,medium,
0005_top_20250707_t1,Homography,1.2088,6.0,11.0,True,medium,
0005_top_20250709_t0,Homography,0.8658,6.0,8.0,True,medium,
0005_top_20250709_t1,Homography,1.342,7.0,8.0,True,medium,
0006_top_20250703_t0,Affine,58.0953,7.0,7.0,False,low,
0006_top_20250703_t1,Homography,1.8486,6.0,8.0,True,medium,
0006_top_20250705_t0,Homography,1.4289,7.0,19.0,True,medium,
0006_top_20250705_t1,Homography,0.9086,6.0,10.0,True,medium,
0006_top_20250707_t0,Homography,1.427,7.0,10.0,True,medium,
0006_top_20250707_t1,Homography,1.1187,6.0,8.0,True,medium,
0006_top_20250708_t0,Homography,1.307,8.0,8.0,True,medium,
0006_top_20250708_t1,Homography,1.5645,12.0,13.0,True,medium,
0006_top_20250711_t0,Homography,1.8489,9.0,14.0,True,medium,
0006_top_20250711_t1,Homography,1.1356,7.0,11.0,True,medium,
0007_top_20250626_t0,Homography,1.7142,8.0,10.0,True,medium,
0007_top_20250626_t1,Homography,1.2984,7.0,8.0,True,medium,
0007_top_20250702_t0,Homography,0.0,4.0,9.0,True,medium,
0007_top_20250702_t1,Homography,1.5007,7.0,8.0,True,medium,
0007_top_20250703_t0,Homography,1.1074,6.0,8.0,True,medium,
0007_top_20250703_t1,Homography,0.6167,6.0,8.0,True,medium,
0007_top_20250704_t0,Homography,0.9732,8.0,8.0,True,medium,
0007_top_20250704_t1,Affine,22.6063,7.0,7.0,False,low,
0007_top_20250705_t0,Homography,1.6215,8.0,8.0,True,medium,
0007_top_20250705_t1,Homography,1.6215,8.0,8.0,True,medium,
0007_top_20250707_t0,Homography,0.6964,6.0,8.0,True,medium,
0007_top_20250707_t1,Homography,0.5844,6.0,8.0,True,medium,
0007_top_20250708_t0,Similarity,6.1477,10.0,10.0,True,medium,
0007_top_20250708_t1,Homography,1.6932,8.0,8.0,True,medium,
0007_top_20250711_t0,Homography,2.1158,6.0,8.0,True,medium,
0007_top_20250711_t1,Similarity,6.2298,9.0,9.0,True,medium,
0008_top_20250623_t0,Homography,0.8689,6.0,8.0,True,medium,
0008_top_20250623_t1,Homography,1.3263,8.0,8.0,True,medium,
0008_top_20250624_t0,Homography,1.5102,10.0,10.0,True,medium,
0008_top_20250624_t1,Similarity,7.8605,8.0,8.0,True,medium,
0008_top_20250707_t0,Homography,1.0611,7.0,9.0,True,medium,
0008_top_20250707_t1,Homography,2.0409,11.0,18.0,True,medium,
0008_top_20250709_t0,Homography,2.0595,18.0,22.0,True,medium,
0008_top_20250709_t1,Homography,1.992,18.0,22.0,True,medium,
0008_top_20250711_t0,Homography,1.5539,9.0,9.0,True,medium,
0008_top_20250711_t1,Homography,0.8966,7.0,8.0,True,medium,
0009_top_20250623_t0,Homography,0.7234,6.0,8.0,True,medium,
0009_top_20250623_t1,Homography,1.2642,8.0,8.0,True,medium,
0009_top_20250626_t0,Homography,1.7562,9.0,14.0,True,medium,
0009_top_20250626_t1,Homography,1.495,9.0,10.0,True,medium,
0009_top_20250703_t0,Homography,0.6598,6.0,10.0,True,medium,
0009_top_20250703_t1,Homography,1.5388,9.0,10.0,True,medium,
0009_top_20250704_t0,Homography,1.4497,7.0,8.0,True,medium,
0009_top_20250704_t1,Homography,1.5696,10.0,11.0,True,medium,
0009_top_20250705_t0,Homography,1.8613,7.0,15.0,True,medium,
