vehicle_id,zone_id,t0_image,t1_image,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t0_orig_w,t0_orig_h,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,t1_orig_w,t1_orig_h,move_dist,diag0,diag1,diag_ratio,delta_min,move_ratio,stop,bbox_x1_640,bbox_y1_640,bbox_x2_640,bbox_y2_640,image_path,stop_bool,ok_all
1,b,0001_top_20250619_t0,0001_top_20250619_t1,201.0,196.0,254.0,345.0,53.0,149.0,183.0,486.0,330.0,587.0,147,101,8.631,77.897,63.953,0.821,8,0.111,Yes,183.0,486.0,330.0,587.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
2,b,0001_top_20250619_t0,0001_top_20250619_t1,246.0,332.0,337.0,458.0,91.0,126.0,369.0,401.0,444.0,640.0,75,239,9.055,89.939,72.45,0.806,8,0.101,Yes,369.0,401.0,444.0,640.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
3,b,0001_top_20250619_t0,0001_top_20250619_t1,448.0,109.0,516.0,217.0,68.0,108.0,339.0,149.0,408.0,206.0,69,57,15.7,76.485,67.941,0.888,8,0.205,Yes,339.0,149.0,408.0,206.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
4,b,0001_top_20250619_t0,0001_top_20250619_t1,307.0,116.0,362.0,265.0,55.0,149.0,223.0,292.0,358.0,355.0,135,63,10.548,80.722,76.922,0.953,8,0.131,Yes,223.0,292.0,358.0,355.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
5,b,0001_top_20250619_t0,0001_top_20250619_t1,250.0,149.0,321.0,313.0,71.0,164.0,197.0,353.0,355.0,467.0,158,114,11.102,94.069,85.755,0.912,8,0.118,Yes,197.0,353.0,355.0,467.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
6,b,0001_top_20250619_t0,0001_top_20250619_t1,340.0,44.0,396.0,191.0,56.0,147.0,225.0,226.0,340.0,282.0,115,56,12.59,81.394,77.026,0.946,8,0.155,Yes,225.0,226.0,340.0,282.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
7,b,0001_top_20250619_t0,0001_top_20250619_t1,442.0,432.0,543.0,528.0,101.0,96.0,536.0,227.0,588.0,361.0,52,134,12.021,87.618,88.752,1.013,8,0.137,Yes,536.0,227.0,588.0,361.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
8,b,0001_top_20250619_t0,0001_top_20250619_t1,359.0,217.0,444.0,343.0,85.0,126.0,372.0,227.0,422.0,370.0,50,143,10.44,89.196,79.12,0.887,8,0.117,Yes,372.0,227.0,422.0,370.0,D:\projects\illegal_parking_project\data\images\0001_top_20250619_t1.jpg,True,True
12,c,0001_top_20250702_t0,0001_top_20250702_t1,359.0,113.0,458.0,433.0,99.0,320.0,359.0,113.0,458.0,433.0,99,320,1.118,72.719,71.868,0.988,6,0.015,Yes,359.0,113.0,458.0,433.0,D:\projects\illegal_parking_project\data\images\0001_top_20250702_t1.jpg,True,True
13,c,0001_top_20250702_t0,0001_top_20250702_t1,61.0,195.0,200.0,395.0,139.0,200.0,61.0,195.0,200.0,395.0,139,200,1.5,60.44,59.666,0.987,6,0.025,Yes,61.0,195.0,200.0,395.0,D:\projects\illegal_parking_project\data\images\0001_top_20250702_t1.jpg,True,True
14,c,0001_top_20250702_t0,0001_top_20250702_t1,487.0,160.0,583.0,471.0,96.0,311.0,487.0,160.0,583.0,471.0,96,311,1.0,71.344,71.344,1.0,6,0.014,Yes,487.0,160.0,583.0,471.0,D:\projects\illegal_parking_project\data\images\0001_top_20250702_t1.jpg,True,True
15,d,0001_top_20250703_t0,0001_top_20250703_t1,536.0,232.0,616.0,293.0,80.0,61.0,438.0,421.0,516.0,482.0,78,61,2.236,87.658,85.884,0.98,8,0.026,Yes,438.0,421.0,516.0,482.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
16,d,0001_top_20250703_t0,0001_top_20250703_t1,232.0,182.0,273.0,319.0,41.0,137.0,121.0,416.0,164.0,561.0,43,145,3.354,87.664,90.211,1.029,8,0.038,Yes,121.0,416.0,164.0,561.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
17,d,0001_top_20250703_t0,0001_top_20250703_t1,305.0,194.0,349.0,324.0,44.0,130.0,199.0,420.0,243.0,559.0,44,139,5.025,87.321,89.308,1.023,8,0.058,Yes,199.0,420.0,243.0,559.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
18,d,0001_top_20250703_t0,0001_top_20250703_t1,540.0,151.0,623.0,214.0,83.0,63.0,435.0,341.0,513.0,402.0,78,61,8.062,93.022,87.71,0.943,8,0.087,Yes,435.0,341.0,513.0,402.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
19,d,0001_top_20250703_t0,0001_top_20250703_t1,189.0,186.0,224.0,320.0,35.0,134.0,73.0,430.0,115.0,567.0,42,137,4.243,84.694,86.608,1.023,8,0.05,Yes,73.0,430.0,115.0,567.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
20,d,0001_top_20250703_t0,0001_top_20250703_t1,457.0,197.0,500.0,335.0,43.0,138.0,356.0,401.0,399.0,542.0,43,141,3.0,91.788,91.022,0.992,8,0.033,Yes,356.0,401.0,399.0,542.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
21,d,0001_top_20250703_t0,0001_top_20250703_t1,375.0,205.0,416.0,339.0,41.0,134.0,270.0,423.0,313.0,560.0,43,137,3.64,88.119,89.051,1.011,8,0.041,Yes,270.0,423.0,313.0,560.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
22,d,0001_top_20250703_t0,0001_top_20250703_t1,493.0,199.0,537.0,333.0,44.0,134.0,393.0,399.0,436.0,536.0,43,137,3.64,91.924,89.404,0.973,8,0.04,Yes,393.0,399.0,436.0,536.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
23,d,0001_top_20250703_t0,0001_top_20250703_t1,417.0,198.0,458.0,334.0,41.0,136.0,314.0,409.0,356.0,549.0,42,140,3.536,89.944,89.308,0.993,8,0.039,Yes,314.0,409.0,356.0,549.0,D:\projects\illegal_parking_project\data\images\0001_top_20250703_t1.jpg,True,True
24,c,0001_top_20250705_t0,0001_top_20250705_t1,401.0,12.0,436.0,49.0,35.0,37.0,369.0,118.0,396.0,150.0,27,32,1.118,123.406,125.603,1.018,7,0.009,Yes,369.0,118.0,396.0,150.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
25,c,0001_top_20250705_t0,0001_top_20250705_t1,74.0,70.0,96.0,118.0,22.0,48.0,139.0,154.0,161.0,202.0,22,48,5.385,101.242,138.773,1.371,7,0.053,Yes,139.0,154.0,161.0,202.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
26,c,0001_top_20250705_t0,0001_top_20250705_t1,167.0,165.0,190.0,216.0,23.0,51.0,207.0,232.0,224.0,279.0,17,47,4.0,101.02,121.824,1.206,7,0.04,Yes,207.0,232.0,224.0,279.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
27,c,0001_top_20250705_t0,0001_top_20250705_t1,306.0,73.0,330.0,118.0,24.0,45.0,291.0,166.0,309.0,211.0,18,45,34.504,104.805,120.739,1.152,7,0.329,Yes,291.0,166.0,309.0,211.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
28,c,0001_top_20250705_t0,0001_top_20250705_t1,241.0,327.0,271.0,377.0,30.0,50.0,260.0,350.0,279.0,389.0,19,39,2.5,101.823,112.45,1.104,7,0.025,Yes,260.0,350.0,279.0,389.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
29,c,0001_top_20250705_t0,0001_top_20250705_t1,124.0,16.0,148.0,65.0,24.0,49.0,172.0,110.0,194.0,158.0,22,48,6.576,112.645,138.852,1.233,7,0.058,Yes,172.0,110.0,194.0,158.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
30,c,0001_top_20250705_t0,0001_top_20250705_t1,453.0,419.0,488.0,473.0,35.0,54.0,389.0,413.0,410.0,466.0,21,53,9.22,112.294,137.644,1.226,7,0.082,Yes,389.0,413.0,410.0,466.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
31,c,0001_top_20250705_t0,0001_top_20250705_t1,359.0,232.0,381.0,284.0,22.0,52.0,334.0,296.0,352.0,344.0,18,48,19.3,99.247,123.693,1.246,7,0.194,Yes,334.0,296.0,352.0,344.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
32,c,0001_top_20250705_t0,0001_top_20250705_t1,299.0,285.0,329.0,334.0,30.0,49.0,298.0,324.0,316.0,360.0,18,36,3.202,103.966,104.661,1.007,7,0.031,Yes,298.0,324.0,316.0,360.0,D:\projects\illegal_parking_project\data\images\0001_top_20250705_t1.jpg,True,True
