LM,Label,X,Y
77,0001_top_20250702_t0.jpg,294,42
147,0001_top_20250702_t0.jpg,353.5,452.5
148,0001_top_20250702_t0.jpg,596.5,456.5
149,0001_top_20250702_t0.jpg,139.5,634.5
22,0001_top_20250619_t0.jpg,428,601
23,0001_top_20250619_t0.jpg,9,388
85,0001_top_20250619_t0.jpg,320,300
86,0001_top_20250619_t0.jpg,384,146
85,0001_top_20250619_t1,361.000,412.000
86,0001_top_20250619_t1,306.167,288.833
301,0001_top_20250619_t1,490.167,476.833
304,0001_top_20250619_t1,542.167,231.500
305,0001_top_20250619_t1,319.500,150.167
394,0001_top_20250619_t1,202.167,410.167
77,0001_top_20250623_t0,497.000,237.000
78,0001_top_20250623_t0,342.167,280.833
89,0001_top_20250623_t0,222.167,427.500
145,0001_top_20250623_t0,228.833,276.833
146,0001_top_20250623_t0,414.167,508.833
148,0001_top_20250623_t0,558.167,380.833
149,0001_top_20250623_t0,539.500,535.500
150,0001_top_20250623_t0,387.500,239.500
151,0001_top_20250623_t0,3.500,178.167
79,0001_top_20250626_t0.jpg,346,335
84,0001_top_20250626_t0.jpg,464,53
152,0001_top_20250626_t0.jpg,367,42
157,0001_top_20250626_t0.jpg,258,253
79,0001_top_20250630_t0,4.000,341.000
80,0001_top_20250630_t0,320.833,312.833
81,0001_top_20250630_t0,506.167,330.167
82,0001_top_20250630_t0,467.500,400.833
84,0001_top_20250630_t0,131.500,610.167
152,0001_top_20250630_t0,160.833,442.167
153,0001_top_20250630_t0,448.833,183.500
153,0001_top_20250630_t0,543.500,254.167
155,0001_top_20250630_t0,618.167,116.833
157,0001_top_20250630_t0,71.500,212.833
77,0001_top_20250702_t1,281.000,24.000
147,0001_top_20250702_t1,600.833,463.500
148,0001_top_20250702_t1,350.167,458.167
293,0001_top_20250702_t1,470.167,426.167
390,0001_top_20250702_t1,62.167,588.833
391,0001_top_20250702_t1,571.500,123.500
392,0001_top_20250702_t1,450.167,80.833
53,0001_top_20250703_t0.JPG,173.5,545.5
55,0001_top_20250703_t0.JPG,612.5,303.5
239,0001_top_20250703_t0.JPG,613.5,78.5
240,0001_top_20250703_t0.JPG,529.5,343.5
241,0001_top_20250703_t0.JPG,612.5,435.5
242,0001_top_20250703_t0.JPG,172,629
243,0001_top_20250703_t0.JPG,198.5,324.5
51,0001_top_20250703_t1,517.000,100.000
55,0001_top_20250703_t1,518.167,488.833
239,0001_top_20250703_t1,502.167,239.500
240,0001_top_20250703_t1,428.833,543.500
241,0001_top_20250703_t1,526.167,626.167
243,0001_top_20250703_t1,83.500,576.833
244,0001_top_20250703_t1,596.833,46.167
41,0001_top_20250705_t0,92.000,358.000
44,0001_top_20250705_t0,402.167,60.833
45,0001_top_20250705_t0,300.833,598.167
46,0001_top_20250705_t0,31.500,606.167
257,0001_top_20250705_t0,388.833,154.167
260,0001_top_20250705_t0,179.500,136.833
261,0001_top_20250705_t0,87.500,226.167
262,0001_top_20250705_t0,80.833,294.167
43,0001_top_20250705_t1.JPG,471,565
44,0001_top_20250705_t1.JPG,373,157
45,0001_top_20250705_t1.JPG,298,521
261,0001_top_20250705_t1.JPG,159,276
021,0001_top_20250707_t0,241.000,104.000
