image_id,method,rmse,inliers,num_lm_common,passed,confidence
0001_top_20230702_t0,Homography,0.0002695239522194778,4,4,True,medium
0001_top_20250619_t0,Homography,0.003324350538230125,4,4,True,medium
0001_top_20250619_t1,Homography,342.4282462673967,6,6,False,low
0001_top_20250623_t0,Homography,312.7862103392853,9,9,False,low
0001_top_20250626_t0,Homography,0.0005709316080892855,4,4,True,medium
0001_top_20250630_t0,Homography,277.99230654124176,9,9,False,low
0001_top_20250702_t1,Homography,213.0441741462339,7,7,False,low
0001_top_20250703_t0,Homography,191.14425154021103,7,7,False,low
0001_top_20250703_t1,Homography,314.5413513626122,7,7,False,low
0001_top_20250705_t0,Homography,666.0251138405218,8,8,False,low
0001_top_20250705_t1,Homography,9.888825528576447e-05,4,4,True,medium
0001_top_20250707_t0,Homography,0.004208494631426998,4,4,True,medium
0001_top_20250707_t1,Homography,0.0023127009201400627,4,4,True,medium
0001_top_20250708_t0,Homography,0.0887196594831926,4,4,True,medium
0001_top_20250708_t1,Homography,0.008679716414052357,4,4,True,medium
0001_top_20250711_t0,Homography,0.003200565106070434,4,4,True,medium
0001_top_20250711_t1,Homography,0.0027270149904803594,4,4,True,medium
0002_top_20250618_t0,Homography,0.004497280550835621,4,4,True,medium
0002_top_20250619_t0,Homography,3.68883921209228,4,4,True,medium
0002_top_20250623_t0,Homography,0.0014603864885260496,4,4,True,medium
0002_top_20250626_t0,Homography,0.0,4,4,True,medium
0002_top_20250626_t1,Homography,0.0001057159916729051,4,4,True,medium
0002_top_20250630_t0,Homography,0.0011879337233979444,4,4,True,medium
0002_top_20250630_t1,Homography,0.0013212736908440714,4,4,True,medium
0002_top_20250703_t0,Similarity,330.93912071080734,5,5,False,low
0002_top_20250703_t1,Homography,0.0004549576268272575,4,4,True,medium
0002_top_20250704_t0,Homography,0.0,4,4,True,medium
0002_top_20250704_t1,Homography,1.206313194339134e-05,4,4,True,medium
0002_top_20250705_t0,Homography,366.6121480661685,7,7,False,low
0002_top_20250705_t1,Homography,366.2079163967344,7,7,False,low
0002_top_20250707_t0,Homography,328.3254594278876,5,5,False,low
0002_top_20250707_t1,Homography,0.00015857398750935767,4,4,True,medium
0002_top_20250708_t0,Homography,7.475249459177179e-05,4,4,True,medium
0002_top_20250708_t1,Homography,25.686297199488745,5,5,False,low
0002_top_20250709_t0,Homography,87.67215682805188,5,5,False,low
0002_top_20250711_t0,Homography,309.9233077655596,6,6,False,low
0002_top_20250711_t1,Homography,1505.5817606378232,7,7,False,low
0003_top_20250623_t0,Homography,0.0006074838024107172,4,4,True,medium
0003_top_20250626_t0,Homography,0.002833947815715134,4,4,True,medium
0003_top_20250703_t0,Homography,436.6260355001602,11,11,False,low
0003_top_20250703_t1,Homography,467.9610463744148,9,9,False,low
0003_top_20250705_t0,Homography,0.00012582719804741396,4,4,True,medium
0003_top_20250707_t0,Homography,0.0018287644368382122,4,4,True,medium
0003_top_20250707_t1,Homography,0.0,4,4,True,medium
0003_top_20250708_t0,Homography,366.225596946582,5,5,False,low
0003_top_20250708_t1,Homography,0.001715104181069765,4,4,True,medium
0003_top_20250711_t0,Homography,259.50658958526685,8,8,False,low
0003_top_20250711_t1,Homography,273.7907372906049,8,8,False,low
0004_top_20250623_t0,Homography,69.90507200263039,5,5,False,low
0004_top_20250624_t0,Homography,0.008004103941591387,4,4,True,medium
0004_top_20250626_t0,Homography,0.0011897942315440629,4,4,True,medium
0004_top_20250703_t0,Homography,95.23936566174737,7,7,False,low
0004_top_20250703_t1,Homography,0.9754389033001181,4,4,True,medium
0004_top_20250705_t0,Homography,0.0006320896965700678,4,4,True,medium
0004_top_20250705_t1,Homography,450.29889726831476,5,5,False,low
0004_top_20250707_t0,Homography,0.0,4,4,True,medium
0004_top_20250707_t1,Homography,0.002493866907692182,4,4,True,medium
0004_top_20250709_t0,Homography,0.025077540132351476,4,4,True,medium
0004_top_20250709_t1,Homography,0.007938384093211688,4,4,True,medium
0005_top_20250618_t0,Similarity,315.6456061678553,5,5,False,low
0005_top_20250623_t0,Homography,411.32065318747027,5,5,False,low
0005_top_20250626_t0,Homography,2.1579186437577746e-05,4,4,True,medium
0005_top_20250630_t1,Homography,0.001212892050387988,4,4,True,medium
0005_top_20250703_t0,Homography,0.001172447064959628,4,4,True,medium
0005_top_20250703_t1,Homography,1.512778357768358,4,4,True,medium
0005_top_20250704_t0,Homography,0.0,4,4,True,medium
0005_top_20250704_t1,Homography,0.0,4,4,True,medium
0005_top_20250705_t0,Homography,0.02969481494153527,4,4,True,medium
0005_top_20250705_t1,Homography,744.3853019717272,7,7,False,low
0005_top_20250707_t0,Homography,0.00016853883388042086,4,4,True,medium
0005_top_20250707_t1,Homography,0.00011620747537023786,4,4,True,medium
0005_top_20250709_t0,Homography,0.0,4,4,True,medium
0005_top_20250709_t1,Homography,0.0,4,4,True,medium
0006_a_top_20250619_t1,Homography,0.00046782561391466954,4,4,True,medium
0006_a_top_20250626_t1,Homography,0.00017531013935968105,4,4,True,medium
