vehicle_id,zone_id,t1_img,xc,yc,t1_w,t1_h
1,a,0001_top_20250618_t1,331.5,317.0,261,226
13,b,0001_top_20250626_t1,415.5,49.0,53,60
14,b,0001_top_20250626_t1,238.0,42.0,32,84
15,b,0001_top_20250626_t1,275.5,106.0,27,116
16,b,0001_top_20250626_t1,405.0,405.0,32,120
17,b,0001_top_20250626_t1,316.5,251.5,29,123
18,b,0001_top_20250626_t1,279.0,281.0,24,94
19,b,0001_top_20250626_t1,229.5,336.0,27,110
20,b,0001_top_20250626_t1,364.0,403.5,32,115
21,b,0001_top_20250626_t1,235.5,480.5,29,117
22,b,0001_top_20250626_t1,355.5,266.5,27,125
23,b,0001_top_20250626_t1,239.0,164.0,24,96
24,b,0001_top_20250626_t1,276.0,458.5,26,109
25,b,0001_top_20250626_t1,403.5,281.0,25,90
26,b,0001_top_20250626_t1,457.0,280.0,28,124
27,b,0001_top_20250626_t1,403.0,9.0,68,18
28,c,0001_top_20250702_t1,244.0,390.5,184,125
29,c,0001_top_20250702_t1,245.0,199.0,172,124
30,d,0001_top_20250703_t1,142.5,488.5,43,145
31,d,0001_top_20250703_t1,221.0,489.5,44,139
32,d,0001_top_20250703_t1,474.0,371.5,78,61
33,d,0001_top_20250703_t1,94.0,498.5,42,137
34,d,0001_top_20250703_t1,377.5,471.5,43,141
35,d,0001_top_20250703_t1,291.5,491.5,43,137
36,d,0001_top_20250703_t1,414.5,467.5,43,137
37,d,0001_top_20250703_t1,335.0,479.0,42,140
86,b,0001_top_20250707_t1,406.5,265.0,87,76
106,c,0001_top_20250711_t1,285.0,228.0,54,112
107,c,0001_top_20250711_t1,238.0,240.0,48,106
108,c,0001_top_20250711_t1,203.0,261.5,58,105
109,c,0001_top_20250711_t1,199.0,253.5,48,95
117,b,0002_top_20250626_t1,158.5,167.0,85,52
118,b,0002_top_20250626_t1,378.0,537.5,78,49
119,b,0002_top_20250626_t1,157.0,349.5,74,69
120,b,0002_top_20250626_t1,159.0,75.0,78,52
121,b,0002_top_20250626_t1,156.5,247.0,69,50
125,d,0002_top_20250704_t1,233.5,366.0,35,136
127,c,0002_top_20250705_t1,415.5,303.5,33,53
128,c,0002_top_20250705_t1,557.0,536.0,36,60
129,c,0002_top_20250705_t1,500.0,514.0,40,60
130,c,0002_top_20250705_t1,539.0,476.5,34,57
131,c,0002_top_20250705_t1,383.5,336.5,35,57
132,c,0002_top_20250705_t1,362.5,354.0,35,56
133,c,0002_top_20250705_t1,578.5,533.5,35,63
134,c,0002_top_20250705_t1,522.0,495.0,40,56
135,c,0002_top_20250705_t1,279.0,497.0,30,60
136,c,0002_top_20250705_t1,359.5,432.5,35,55
137,c,0002_top_20250705_t1,439.0,539.0,38,56
138,c,0002_top_20250705_t1,482.0,522.5,38,57
139,c,0002_top_20250705_t1,457.0,362.0,40,56
140,c,0002_top_20250705_t1,478.0,348.0,38,58
141,c,0002_top_20250705_t1,379.5,424.0,39,56
142,c,0002_top_20250705_t1,400.5,408.5,35,57
143,c,0002_top_20250705_t1,418.5,394.5,39,59
144,c,0002_top_20250705_t1,340.5,451.5,39,59
145,c,0002_top_20250705_t1,460.0,531.0,36,56
146,c,0002_top_20250705_t1,437.0,376.0,36,58
212,c,0002_top_20250711_t1,105.5,182.5,51,37
213,c,0002_top_20250711_t1,104.5,253.0,45,36
214,c,0002_top_20250711_t1,105.5,394.5,47,35
215,c,0002_top_20250711_t1,219.5,335.5,27,71
216,c,0002_top_20250711_t1,392.5,412.5,23,75
217,c,0002_top_20250711_t1,115.0,14.0,40,28
218,c,0002_top_20250711_t1,435.0,413.0,28,78
219,c,0002_top_20250711_t1,370.5,415.0,27,68
220,c,0002_top_20250711_t1,225.0,124.0,28,54
221,c,0002_top_20250711_t1,279.5,176.5,27,57
222,c,0002_top_20250711_t1,244.0,137.0,26,48
223,c,0002_top_20250711_t1,261.0,159.5,30,63
224,c,0002_top_20250711_t1,262.5,154.0,23,54
226,b,0003_top_20250626_t1,259.0,307.5,28,119
227,b,0003_top_20250626_t1,412.0,138.0,28,118
229,b,0003_top_20250626_t1,405.5,288.0,25,94
231,c,0003_top_20250711_t1,99.0,280.0,50,164
235,d,0004_top_20250623_t1,391.5,255.5,71,191
242,c,0004_top_20250702_t1,251.0,524.0,174,108
243,c,0004_top_20250702_t1,257.5,628.5,161,23
246,c,0004_top_20250703_t1,332.0,318.5,42,93
247,c,0004_top_20250703_t1,370.5,314.5,39,93
248,c,0004_top_20250703_t1,14.0,623.5,28,33
273,b,0004_top_20250709_t1,221.5,320.5,93,173
274,b,0004_top_20250709_t1,590.5,261.5,95,173
275,b,0004_top_20250709_t1,329.5,325.5,87,181
276,b,0004_top_20250709_t1,459.5,330.0,89,188
277,b,0005_top_20250626_t1,237.5,99.5,31,127
290,d,0005_top_20250704_t1,576.0,359.5,36,133
291,d,0005_top_20250704_t1,278.0,318.5,40,113
292,d,0005_top_20250704_t1,357.5,325.5,39,147
295,d,0005_top_20250709_t1,205.0,486.0,48,42
296,d,0005_top_20250709_t1,275.0,521.0,40,46
297,d,0005_top_20250709_t1,299.0,210.5,24,69
322,d,0006_top_20250624_t1,612.0,313.5,56,395
325,d,0006_top_20250703_t1,428.5,133.5,75,69
326,d,0006_top_20250703_t1,438.5,280.0,69,62
327,d,0006_top_20250703_t1,180.0,222.5,62,81
328,d,0006_top_20250703_t1,495.5,414.0,75,74
332,d,0007_top_20250623_t1,211.0,544.5,92,71
333,d,0007_top_20250623_t1,224.0,439.5,92,67
348,c,0007_top_20250702_t1,156.0,207.0,32,114
352,d,0007_top_20250703_t1,362.5,299.0,89,64
358,d,0007_top_20250704_t1,633.5,316.0,13,140
359,d,0007_top_20250704_t1,575.0,314.5,44,113
360,c,0007_top_20250705_t1,241.5,512.5,31,69
361,c,0007_top_20250705_t1,206.5,358.0,37,80
362,c,0007_top_20250705_t1,348.0,559.0,30,64
374,b,0008_top_20250626_t1,187.0,542.5,82,49
375,b,0008_top_20250626_t1,189.0,442.5,76,51
376,b,0008_top_20250626_t1,392.0,567.5,82,57
377,b,0008_top_20250626_t1,387.5,252.0,73,48
378,b,0008_top_20250626_t1,391.5,334.0,83,52
379,b,0008_top_20250626_t1,387.0,171.0,74,58
380,b,0008_top_20250626_t1,388.0,33.5,84,55
