image_name,template_key,xc,yc,t1_w,t1_h,classification,detail
0001_top_20250703_t1,DJI_0570,142.5,488.5,43,145,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,221.0,489.5,44,139,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,474.0,371.5,78,61,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,94.0,498.5,42,137,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,377.5,471.5,43,141,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,291.5,491.5,43,137,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,414.5,467.5,43,137,ILLEGAL,ILLEGAL;OTHER
0001_top_20250703_t1,DJI_0570,335.0,479.0,42,140,ILLEGAL,ILLEGAL;OTHER
0002_top_20250704_t1,DJI_0570,233.5,366.0,35,136,ILLEGAL,ILLEGAL;OTHER
0004_top_20250623_t1,DJI_0570,391.5,255.5,71,191,ILLEGAL,ILLEGAL;OTHER
0005_top_20250704_t1,DJI_0570,576.0,359.5,36,133,ILLEGAL,ILLEGAL;OTHER
0005_top_20250704_t1,DJI_0570,278.0,318.5,40,113,ILLEGAL,ILLEGAL;OTHER
0005_top_20250704_t1,DJI_0570,357.5,325.5,39,147,ILLEGAL,ILLEGAL;OTHER
0005_top_20250709_t1,DJI_0570,205.0,486.0,48,42,ILLEGAL,ILLEGAL;OTHER
0005_top_20250709_t1,DJI_0570,275.0,521.0,40,46,ILLEGAL,ILLEGAL;OTHER;TREE
0005_top_20250709_t1,DJI_0570,299.0,210.5,24,69,ILLEGAL,ILLEGAL;OTHER
0006_top_20250624_t1,DJI_0570,612.0,313.5,56,395,ILLEGAL,ILLEGAL;OTHER
0006_top_20250703_t1,DJI_0570,428.5,133.5,75,69,ILLEGAL,ILLEGAL;OTHER
0006_top_20250703_t1,DJI_0570,438.5,280.0,69,62,ILLEGAL,ILLEGAL;OTHER
0006_top_20250703_t1,DJI_0570,180.0,222.5,62,81,LEGAL,LEGAL;OTHER
0006_top_20250703_t1,DJI_0570,495.5,414.0,75,74,ILLEGAL,ILLEGAL;OTHER
0007_top_20250623_t1,DJI_0570,211.0,544.5,92,71,ILLEGAL,ILLEGAL;OTHER
0007_top_20250623_t1,DJI_0570,224.0,439.5,92,67,ILLEGAL,ILLEGAL;OTHER
0007_top_20250703_t1,DJI_0570,362.5,299.0,89,64,ILLEGAL,ILLEGAL;OTHER
0007_top_20250704_t1,DJI_0570,633.5,316.0,13,140,ILLEGAL,ILLEGAL;OTHER
0007_top_20250704_t1,DJI_0570,575.0,314.5,44,113,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,161.5,555.5,75,51,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,228.0,548.0,38,144,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,272.0,534.0,40,144,ILLEGAL,ILLEGAL;OTHER;TREE
0008_top_20250709_t1,DJI_0570,314.5,527.0,39,150,ILLEGAL,ILLEGAL;OTHER;TREE
0008_top_20250709_t1,DJI_0570,516.5,489.0,39,150,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,471.5,492.5,39,147,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,565.0,474.0,42,140,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,433.5,507.5,41,149,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,355.0,516.0,42,154,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,395.0,515.5,40,143,ILLEGAL,ILLEGAL;OTHER
0008_top_20250709_t1,DJI_0570,96.5,29.0,131,48,LEGAL,LEGAL;OTHER
0008_top_20250709_t1,DJI_0570,203.5,35.0,71,54,ILLEGAL,ILLEGAL;OTHER;TREE
0008_top_20250709_t1,DJI_0570,159.5,629.0,77,20,ILLEGAL,ILLEGAL;OTHER;TREE
0009_top_20250703_t1,DJI_0570,427.0,99.0,68,66,ILLEGAL,ILLEGAL;OTHER
0009_top_20250703_t1,DJI_0570,428.5,199.5,61,67,ILLEGAL,ILLEGAL;OTHER
0009_top_20250704_t1,DJI_0570,95.0,335.0,36,126,LEGAL,LEGAL;OTHER
0009_top_20250704_t1,DJI_0570,154.5,333.5,33,109,ILLEGAL,ILLEGAL;OTHER
0010_top_20250623_t1,DJI_0570,307.0,92.5,72,185,ILLEGAL,ILLEGAL;OTHER
0010_top_20250704_t1,DJI_0570,504.5,372.5,33,91,ILLEGAL,ILLEGAL;OTHER
0010_top_20250704_t1,DJI_0570,566.5,370.0,35,114,ILLEGAL,ILLEGAL;OTHER
