image_name,exists_on_disk,resolved_path,resolved_ext,template_found,pairs_found,geo_ready,reason,reason_str
0001_top_20250626_t1,True,D:\illegal_parking_project\data\test\images\0001_top_20250626_t1.jpg,.jpg,True,True,,['OK'],OK
0001_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0001_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0001_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0001_top_20250703_t1.JPG,.jpg,True,True,,['OK'],OK
0001_top_20250707_t1,True,D:\illegal_parking_project\data\test\images\0001_top_20250707_t1.png,.png,True,True,,['OK'],OK
0001_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0001_top_20250711_t1.jpg,.jpg,True,True,,['OK'],OK
0002_top_20250626_t1,True,D:\illegal_parking_project\data\test\images\0002_top_20250626_t1.jpg,.jpg,True,True,,['OK'],OK
0002_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0002_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0002_top_20250705_t1,True,D:\illegal_parking_project\data\test\images\0002_top_20250705_t1.png,.png,True,True,,['OK'],OK
0002_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0002_top_20250711_t1.JPG,.jpg,True,True,,['OK'],OK
0003_top_20250626_t1,True,D:\illegal_parking_project\data\test\images\0003_top_20250626_t1.jpg,.jpg,True,True,,['OK'],OK
0003_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0003_top_20250711_t1.JPG,.jpg,True,True,,['OK'],OK
0004_top_20250623_t1,True,D:\illegal_parking_project\data\test\images\0004_top_20250623_t1.jpg,.jpg,True,True,,['OK'],OK
0004_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0004_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0004_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0004_top_20250703_t1.JPG,.jpg,True,True,,['OK'],OK
0004_top_20250709_t1,True,D:\illegal_parking_project\data\test\images\0004_top_20250709_t1.JPG,.jpg,True,True,,['OK'],OK
0005_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0005_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0005_top_20250709_t1,True,D:\illegal_parking_project\data\test\images\0005_top_20250709_t1.png,.png,True,True,,['OK'],OK
0006_top_20250624_t1,True,D:\illegal_parking_project\data\test\images\0006_top_20250624_t1.jpg,.jpg,True,True,,['OK'],OK
0006_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0006_top_20250703_t1.png,.png,True,True,,['OK'],OK
0007_top_20250623_t1,True,D:\illegal_parking_project\data\test\images\0007_top_20250623_t1.jpg,.jpg,True,True,,['OK'],OK
0007_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0007_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0007_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0007_top_20250703_t1.png,.png,True,True,,['OK'],OK
0007_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0007_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0007_top_20250705_t1,True,D:\illegal_parking_project\data\test\images\0007_top_20250705_t1.JPG,.jpg,True,True,,['OK'],OK
0008_top_20250626_t1,True,D:\illegal_parking_project\data\test\images\0008_top_20250626_t1.jpg,.jpg,True,True,,['OK'],OK
0008_top_20250707_t1,True,D:\illegal_parking_project\data\test\images\0008_top_20250707_t1.JPG,.jpg,True,True,,['OK'],OK
0008_top_20250709_t1,True,D:\illegal_parking_project\data\test\images\0008_top_20250709_t1.png,.png,True,True,,['OK'],OK
0009_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0009_top_20250703_t1.png,.png,True,True,,['OK'],OK
0009_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0009_top_20250704_t1.png,.png,True,True,,['OK'],OK
0009_top_20250705_t1,True,D:\illegal_parking_project\data\test\images\0009_top_20250705_t1.JPG,.jpg,True,True,,['OK'],OK
0009_top_20250707_t1,True,D:\illegal_parking_project\data\test\images\0009_top_20250707_t1.png,.png,True,True,,['OK'],OK
0010_top_20250623_t1,True,D:\illegal_parking_project\data\test\images\0010_top_20250623_t1.jpg,.jpg,True,True,,['OK'],OK
0010_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0010_top_20250704_t1.png,.png,True,True,,['OK'],OK
0010_top_20250708_t1,True,D:\illegal_parking_project\data\test\images\0010_top_20250708_t1.JPG,.jpg,True,True,,['OK'],OK
0011_top_20250630_t1,True,D:\illegal_parking_project\data\test\images\0011_top_20250630_t1.jpg,.jpg,True,True,,['OK'],OK
0011_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0011_top_20250703_t1.png,.png,True,True,,['OK'],OK
0011_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0011_top_20250704_t1.png,.png,True,True,,['OK'],OK
0011_top_20250708_t1,True,D:\illegal_parking_project\data\test\images\0011_top_20250708_t1.png,.png,True,True,,['OK'],OK
0011_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0011_top_20250711_t1.jpg,.jpg,True,True,,['OK'],OK
0012_top_20250630_t1,True,D:\illegal_parking_project\data\test\images\0012_top_20250630_t1.jpg,.jpg,True,True,,['OK'],OK
0012_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0012_top_20250703_t1.png,.png,True,True,,['OK'],OK
0012_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0012_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0013_a_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0013_a_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0013_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0013_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0013_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0013_top_20250711_t1.jpg,.jpg,True,True,,['OK'],OK
0014_top_20250704_t1,True,D:\illegal_parking_project\data\test\images\0014_top_20250704_t1.JPG,.jpg,True,True,,['OK'],OK
0014_top_20250707_t1,True,D:\illegal_parking_project\data\test\images\0014_top_20250707_t1.png,.png,True,True,,['OK'],OK
0014_top_20250708_t1,True,D:\illegal_parking_project\data\test\images\0014_top_20250708_t1.png,.png,True,True,,['OK'],OK
0015_top_20250624_t1,True,D:\illegal_parking_project\data\test\images\0015_top_20250624_t1.jpg,.jpg,True,True,,['OK'],OK
0015_top_20250626_t1,True,D:\illegal_parking_project\data\test\images\0015_top_20250626_t1.jpg,.jpg,True,True,,['OK'],OK
0017_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0017_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0017_top_20250708_t1,True,D:\illegal_parking_project\data\test\images\0017_top_20250708_t1.jpg,.jpg,True,True,,['OK'],OK
0017_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0017_top_20250711_t1.JPG,.jpg,True,True,,['OK'],OK
0018_top_20250702_t1,True,D:\illegal_parking_project\data\test\images\0018_top_20250702_t1.jpg,.jpg,True,True,,['OK'],OK
0019_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0019_top_20250703_t1.png,.png,True,True,,['OK'],OK
0019_top_20250707_t1,True,D:\illegal_parking_project\data\test\images\0019_top_20250707_t1.JPG,.jpg,True,True,,['OK'],OK
0019_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0019_top_20250711_t1.JPG,.jpg,True,True,,['OK'],OK
0020_top_20250703_t1,True,D:\illegal_parking_project\data\test\images\0020_top_20250703_t1.png,.png,True,True,,['OK'],OK
0020_top_20250711_t1,True,D:\illegal_parking_project\data\test\images\0020_top_20250711_t1.JPG,.jpg,True,True,,['OK'],OK
0021_top_20250619_t1,True,D:\illegal_parking_project\data\test\images\0021_top_20250619_t1.jpg,.jpg,True,True,,['OK'],OK
